case_summaries,source
"United States ex rel. Accardi v. Shaughnessy, 347 U.S. 260 (1954), is a landmark United States Supreme Court case, in administrative law, in which the Court held that administrative agencies in the Federal Government are obliged to follow their own regulations, policies and procedures. Under the Accardi doctrine, named after this case, federal agencies which do not follow their own regulations or procedures run the risk of having their actions invalidated if challenged in court.
The Accardi doctrine was later strengthened in Service v. Dulles 354 US 363 (1957)  and Vitarelli v. Seaton, 359 US 535 (1959) 
Due to a ruling in United States v. Fausto, the doctrine generally does not apply to Federal employment decisions that are covered by the Civil Service Reform Act of 1978.",wiki
"Alexander v. Gardner-Denver Co., 415 U.S. 36 (1974), is a US labor law case, concerning arbitration with collective agreements for labor rights.",wiki
"Cort v. Ash, 422 U.S. 66 (1975), was a case in which Justice William J. Brennan writing for a unanimous United States Supreme Court articulated a four factor test for federal courts to apply when deciding whether the implication doctrine allows a cause of action to be inferred from a federal statute that does not clearly state a civil remedy.
The Cort criteria were applied by some lower federal courts as a restrictive standard to test applications of the implication doctrine, including a 7th Circuit decision, later reversed by the Supreme Court, which held no private right of action exists under Title IX to challenge a denial of admission to medical school as gender-based discrimination.",wiki
"United States v. Adams, 383 U.S. 39 (1966), is a United States Supreme Court decision in the area of patent law. This case was later cited in KSR v. Teleflex as an example of a case satisfying the requirement for non-obviousness of a combination of known elements.  It also features one of the great stories of patent litigation lore, with Adams's attorney utilizing an innovative and unique method of non-oral advocacy at oral argument in front of the Supreme Court.",wiki
"New York v. Quarles, 467 U.S. 649 (1984), was a decision by the United States Supreme Court regarding the public safety exception to the normal Fifth Amendment requirements of the Miranda warning.",wiki
"United States v. Montgomery Country Board of Education, 395 U.S. 225 (1969), was a case heard before the United States Supreme Court concerning the integration of public schools in Montgomery County, Alabama.",wiki
"Tennessee v. Garner, 471 U.S. 1 (1985), is a civil case in which the Supreme Court of the United States held that, under the Fourth Amendment, when a law enforcement officer is pursuing a fleeing suspect, the officer may not use deadly force to prevent escape unless ""the officer has probable cause to believe that the suspect poses a significant threat of death or serious physical injury to the officer or others.""
It was found that the use of deadly force to prevent escape is an unreasonable seizure under the Fourth Amendment, in the absence of probable cause that the fleeing suspect posed a physical danger.: 563–7  Legal scholars have expressed support for this decision stating that the decision had ""a strong effect on police behavior"" and specifically that it can ""influence police use of deadly force.""

",wiki
"Duncan v. Louisiana, 391 U.S. 145 (1968), was a significant United States Supreme Court decision which incorporated the Sixth Amendment right to a jury trial and applied it to the states.",wiki
"Tampa Electric Co. v. Nashville Coal Co., 365 U.S. 320 (1961), the Tampa Electric case, was a 1961 decision of the Supreme Court that, together with United States v. Philadelphia National Bank, clarified the legal test for determining whether requirements contracts ""may substantially lessen competition"" or ""tend to create a monopoly"" for purposes of section 3 of the Clayton Antitrust Act.",wiki
"Frisbie v. Collins, 342 U.S. 519 (1952), is a decision by the United States Supreme Court, holding that kidnapping of a defendant by State authorities for the purpose of taking a suspect from one jurisdiction to another for criminal trial, is constitutional. The defendant was tried in Michigan after being abducted by Michigan authorities in Chicago, Illinois. The case relied upon Ker v. Illinois (1886). The Ker–Frisbie doctrine, continues to be used to uphold convictions based on illegal arrests.",wiki
"Bellotti v. Baird, 428 U.S. 132 (1976), was a United States Supreme Court case in which the Court upheld a Massachusetts law requiring parental consent to a minor's abortion, under the provision that ""if one or both of the [minor]'s parents refuse... consent, consent may be obtained by order of a judge... for good cause shown."" The decision was unanimous, and the opinion of the Court was written by Harry Blackmun. The law in question ""permits a minor capable of giving informed consent to obtain a court order allowing abortion without parental consultation, and further permits even a minor incapable of giving informed consent to obtain an abortion order without parental consultation where it is shown that abortion would be in her best interests.""
The case was initially titled  as Baird v. Quinn (Baird et al. v. Quinn et al.) since that proceedings commenced, Robert H. Quinn was the attorney general of Massachusetts. He was replaced in 1975 by Francis X. Bellotti.",wiki
"North v. Russell, 427 U.S. 328 (1976), is a United States Supreme Court case which held that a non-lawyer jurist can constitutionally sit in a jail-carrying criminal case provided that the defendant has an opportunity through an appeal to obtain a second trial before a judge who is a lawyer.

",wiki
"Jones v. Harris Associates L.P., 559 U.S. 335 (2010), is a case decided by the United States Supreme Court in which investors claimed that the fees they paid to an investment advisor were too steep, violating the Investment Company Act of 1940.
The case held that the court has the jurisdiction to regulate fees of investment advisers in the mutual fund industry under the Investment Company Act of 1940, when those fees are excessive, and in breach of fiduciary duty. It is notable from a law and economics perspective for the vigorous opinion in the Seventh Circuit Court of Appeal of Judge Frank Easterbrook and the powerful dissent of Richard Posner, regarding the necessity and market failure in respect of adviser fee regulation.

",wiki
"United States v. R. Enterprises, Inc., 498 U.S. 292 (1991), was a United States Supreme Court case in which the court held that the three prong test for the issuance of a subpoena in United States v. Nixon does not apply to subpoenas issued by a grand jury. The Court concluded by stating that when a grand jury subpoena is challenged on relevancy grounds, the motion to quash must be denied ""unless the district court determines that there is no reasonable possibility that the materials sought will produce information relevant to the grand jury's investigation.""",wiki
"Durham v. United States, 401 U.S. 481 (1971), was a United States Supreme Court case in which the Court held that the death of a defendant pending a petition for certiorari before the Supreme Court on direct review of the criminal conviction will cause the Court to vacate the conviction. In a per curiam opinion, the Court wrote that ""[t]he unanimity of the lower federal courts"" in vacating criminal convictions when the defendant dies during direct review was ""impressive"" and accordingly vacated the original conviction.
In a one-sentence dissent, Justice Marshall, joined by Chief Justice Burger and Justice Stewart, wrote that the Court should dismiss only the petition for writ of certiorari rather than the entire conviction, writing:

MR. JUSTICE MARSHALL, whom THE CHIEF JUSTICE and MR. JUSTICE STEWART join, believes that the case should be disposed of as follows:  The petitioner having died while his petition for certiorari was pending before this Court, we dismiss the petition as moot and direct the Court of Appeals to note this action on its records.
Justice Blackmun wrote a separate dissenting opinion, noting that the petitioner had filed his petition out of time and that the Court should not dismiss a criminal conviction ""which was unsuccessfully appealed throughout the entire appeal process to which the petitioner was entitled as of right"".
The Court's decision in this case and other abatement cases has been criticized for allowing convicted criminal defendants to escape the collateral consequences of their convictions, including restitution orders.
The Court's decision in Durham was later overruled in Dove v. United States.

",wiki
"Holland v. Florida, 560 U.S. 631 (2010), was a United States Supreme Court case in which the Court held that the statute of limitations under the Antiterrorism and Effective Death Penalty Act is subject to equitable tolling in appropriate cases.",wiki
"Morgan v. Illinois, 504 U.S. 719 (1992), is a case decided by the United States Supreme Court. The case established the right of defendants to challenge for cause any juror that would automatically impose the death penalty in all capital cases.",wiki
"Pennsylvania v. Nelson, 350 U.S. 497 (1956), was a United States Supreme Court case that established a precedent for the preemption of United States Federal law over State laws. The case was argued November 15–16, 1955 and the decision was handed down April 2, 1956. The State of Pennsylvania tried to convict a man of sedition under a state law, but a Federal law existed on the same subject. The Court ruled that the Federal law, the Smith Act, overruled the state law, the Pennsylvania Sedition Act, even though the state law was created before the federal law. Nelson, who was convicted under the state law, was therefore mistried.

",wiki
"Kois v. Wisconsin, 408 U.S. 229 (1972), was a ruling by the U.S. Supreme Court in the case of the obscenity conviction of Milwaukee editor-publisher John Kois, whose underground newspaper Kaleidoscope had published two small photographs of pictures of nudes and a sexually-oriented poem entitled ""Sex Poem"" in 1968. The Supreme Court ruled that, in the context in which they appeared, the photographs were rationally related to a news article which they illustrated and were thus entitled to Fourteenth Amendment protection, and that the poem ""bears some of the earmarks of an attempt at serious art"" (whether successful or not), and thus was not obscene under the Roth v. United States test (""whether or not the 'dominant' theme of the material appeals to prurient interest""). In the words of the concurring opinion of Justice William O. Douglas, ""In this case, the vague umbrella of obscenity laws was used in an attempt to run a radical newspaper out of business and to impose a two-year sentence and a $2,000 fine upon its publisher. If obscenity laws continue in this uneven and uncertain enforcement, then the vehicle has been found for the suppression of any unpopular tract. The guarantee of free expression will thus be diluted and in its stead public discourse will only embrace that which has the approval of five members of this Court.""
As alluded to in Justice Douglas' opinion, by this time Kaleidoscope had already been driven out of business.",wiki
"Hunter v. Erickson, 393 U.S. 385 (1969), was a United States Supreme Court case.
The question in the case was ""whether the City of Akron, Ohio, has denied [a black citizen] the equal protection of its laws by amending the city charter to prevent the city council from implementing any ordinance dealing with racial, religious, or ancestral discrimination in housing without the approval of the majority of the voters of Akron.""
The Court held an amendment of a city charter to discriminate against minorities, and constitute a real, substantial, and invidious denial of the equal protection of the laws under the Fourteenth Amendment.
This amendment provided that an ordinance enacted by the city council would not be effective unless approved by a majority of the city voters at a regular or general election, and that any such ordinance in effect at the time of the charter amendment shall cease to be effective until approved by the voters, a fair housing ordinance having in fact been previously enacted by the city council; that ordinance  dealt with racial, religious, or ancestral discrimination in housing.
The amendment discriminated and violated the equal protection of the laws since, under the city's general system of enacting ordinances, an ordinance was effective a specified time after passage by the city council unless 10 percent of the voters petitioned for a referendum, and the amendment of the charter not only suspended the operation of the existing ordinance forbidding housing discrimination, but also made an explicit racial classification treating racial housing matters differently from other racial matters or other housing matters and made it more difficult to secure enactment of ordinances subject to the amendment, it being immaterial that the amendment drew no distinctions among racial and religious groups, since the amendment disadvantaged those who would benefit from laws barring racial, religious, or ancestral discriminations as against those who would bar other discriminations or who would otherwise regulate the real-estate market in their favor, and since the reality is that the law's impact falls on the minority and places special burdens on racial minorities within the governmental process.",wiki
"United States v. Utah Construction & Mining Company, 384 U.S. 394 (1966), is a United States Supreme Court case in which the Court held that ""(w)hen an administrative agency is acting in a judicial capacity and resolves disputed issues of fact properly before it which the parties have had an adequate opportunity to litigate, the courts have not hesitated to apply res judicata to enforce repose."" Utah Construction established a two-part test to determine whether res judicata effect should be given to an administrative determination. First, the agency proceeding must be examined to determine whether the agency was ""acting in a judicial capacity"" and whether the parties had ""an adequate opportunity to litigate"" the issues before the agency. Second, the general rules of res judicata must be applied to the case. Not all administrative adjudications, and not all judicial determinations, are entitled to res judicata effect. For the principles of res judicata to apply, administrative determinations, like court judgments, must be valid, final and on the merits.

",wiki
"Kleindienst v. Mandel, 408 U.S. 753 (1972), was a decision by the United States Supreme Court, which held that the United States Attorney General has the right to refuse somebody's entry to the United States, as he has been empowered to do so in § 212(a)(28) of the Immigration and Nationality Act of 1952.
This action was brought to compel Attorney General Richard Kleindienst to grant a temporary nonimmigrant visa to a Belgian journalist and Marxian theoretician whom the American plaintiff-appellees, Ernest Mandel et al., had invited to participate in academic conferences and discussions in the US. The alien had been found ineligible for admission under §§ 212(a)(28)(D) and (G)(v) of the Immigration and Nationality Act of 1952, barring those who advocate or publish ""the economic, international, and governmental doctrines of world communism."" Kleindienst had declined to waive ineligibility as he has the power to do under § 212(d) of the Act, basing his decision on unscheduled activities engaged in by the alien on a previous visit to the United States, when a waiver was granted.

",wiki
"Braunfeld v. Brown, 366 U.S. 599 (1961), was a landmark case on the issue of religious and economic liberty decided by the United States Supreme Court.  In a 6–3 decision, the Court held that a Pennsylvania blue law forbidding the sale of various retail products on Sunday was not an unconstitutional interference with religion as described in the First Amendment to the United States Constitution.",wiki
"California v. Hodari D., 499 U.S. 621 (1991), was a United States Supreme Court case where the Court held that a fleeing suspect is not ""seized"" under the terms of the Fourth Amendment unless the pursuing officers apply physical force to the suspect or the suspect submits to officers' demands to halt. Consequently, evidence that is discarded by a fleeing suspect prior to the point in time at which they are seized is not subject to the Fourth Amendment's exclusionary rule.",wiki
"J. D. B. v. North Carolina, 564 U.S. 261 (2011), was a case in which the Supreme Court of the United States held that age and mental status is relevant when determining police custody for Miranda purposes, overturning its prior ruling from seven years before. J. D. B. was a 13-year-old student enrolled in special education classes whom police had suspected of committing two robberies.  A police investigator visited J. D. B. at school, where he was interrogated by the investigator, a uniformed police officer, and school officials. J. D. B. subsequently confessed to his crimes and was convicted. J. D. B. was not given a Miranda warning during the interrogation, nor an opportunity to contact his legal guardian.
During the trial, attempts to suppress the statements given by J. D. B. because he was not given a Miranda warning were denied on the grounds that J. D. B. was not in police custody. J. D. B. appealed.
The North Carolina Supreme Court held that the Supreme Court's ruling in Yarborough v. Alvarado barred them from determining whether or not he was in custody based on his age. The court determined that a reasonable adult would've felt free to leave; consequently, J. D. B. was not in custody. Thus the court affirmed the ruling of the trial court. J. D. B. appealed, and the U.S. Supreme Court granted certiorari.
The U.S. Supreme Court argued that the age and mental status of an individual can take part in the psychological effect that he faces during police interaction. It's nearly exact to the reasoning of the 1970 Kentucky Supreme Court case of Allee v. Commonwealth, which held that the age and mental status of an individual is relevant in determining whether his statements are involuntary. Based on these reasons, the U.S. Supreme Court reversed the North Carolina Supreme Court and remanded for further proceedings. The North Carolina Supreme Court on remand then determined that J. D. B. was in custody, and remanded for further proceedings.",wiki
"Federal Trade Commission v. Colgate-Palmolive Company, 380 U.S. 374 (1965), was a United States Supreme Court case.",wiki
"Wisconsin Department of Revenue v. William Wrigley Jr. Co., 505 U.S. 214 (1992), is a case decided by the United States Supreme Court regarding the application of state franchise taxes to out-of-state businesses.

",wiki
"National Treasury Employees Union v. Von Raab, 489 U.S. 656 (1989), was a United States Supreme Court case involving the Fourth Amendment and its implication on drug testing programs. The majority of the Court upheld the drug testing program in the United States Customs Service.",wiki
"Trbovich v. United Mine Workers, 404 U.S. 528 (1972), is a 6–1 decision of the Supreme Court of the United States in which the Court held that the Labor-Management Reporting and Disclosure Act of 1959 gave union members the right to intervene in enforcement proceedings brought by the United States Department of Labor in enforcement proceedings under the Act.",wiki
"United States v. X-Citement Video, Inc., 513 U.S. 64 (1994), was a federal criminal prosecution filed in the United States District Court for the Central District of California in Los Angeles against X-Citement Video and its owner, Rubin Gottesman, on three charges of trafficking in child pornography, specifically videos featuring the underaged Traci Lords. In 1989, a federal judge found Gottesman guilty and later sentenced him to one year in jail and a $100,000 fine.
The defense challenged the constitutionality of certain sections of the federal laws against child pornography, claiming they were unconstitutionally vague. On appeal, the United States Court of Appeals for the Ninth Circuit agreed and reversed the district decision in 1992.
The case was appealed again to the Supreme Court, which, in turn, by a 7-2 vote, reversed the ruling of the Ninth Circuit on November 29, 1994, because the relevant sections could be interpreted in a way that is constitutional.",wiki
"Sears, Roebuck & Co. v. Stiffel Co., 376 U.S. 225 (1964), was a United States Supreme Court case that limited state law on unfair competition when it prevents the copying of an item that is not covered by a patent.
Justice Hugo Black wrote for a unanimous Court that the US Constitution reserved power over intellectual property such as patents to the federal government exclusively. Since the trial court had found Stiffel's patent invalid as insufficiently inventive, its product design was thus in the public domain and no state law could be used to prevent Sears from copying it.
The Supreme Court made a similar ruling in a companion case decided the same day, Compco Corp. v. Day-Brite Lighting, Inc..
The two cases were the first decisions of the Supreme Court that the Supremacy Clause of the Constitution prevents from states passing their own patent or patent-like laws. The issue had been raised but not decided in Gibbons v. Ogden, in which Attorney General Wirt argued on behalf of the United States for federal patent preemption of New York's grant of a steamboat patent to Robert Fulton.",wiki
"Exxon Shipping Co. v. Baker, 554 U.S. 471 (2008), was a case decided by the Supreme Court of the United States. The Court ruled in a 5-3 decision that the punitive damages awarded to the victims of the Exxon Valdez oil spill should be reduced from $2.5 billion to $500 million.
The case was received by the Supreme Court of the United States from an appeal from the United States Court of Appeals for the Ninth Circuit. The Ninth Circuit had also ruled that Exxon could be held liable for the reckless conduct of the ship's captain, Joseph J. Hazelwood, who had left the bridge during the disaster and had been drinking vodka that evening. The Supreme Court was split 4–4 on the question of whether Exxon was liable for Hazelwood's action. The result of the split is that the Ninth Circuit's ruling on Exxon's respondeat superior liability for Hazelwood's conduct remains since Hazelwood acted in a managerial capacity under the Restatement (Second) of Torts Section 909(c) approach to punitive damages.
After considering the punitive damage policies of foreign nations, the Court reasoned that although punitive damages were warranted, they may not exceed what Exxon already paid to compensate victims for economic losses, which was about US$500 million. It held that a one-to-one ratio between punitive and compensatory damages was ""a fair upper limit"" in maritime cases that involved recklessness, compared to the lower liability of negligence or the higher liability of intentional conduct.  Its reasoning, ""The real problem, it seems, is the stark unpredictability of punitive awards,"" frustrates the goal of punitive damages, deterring reprehensible conduct, because predictable damages create an incentive to continue dangerous misconduct if the personal injury liability is less than the potential profit, as on the Ford Pinto. It suggested giving a ""bad man"" the chance to look ahead and to calculate the consequences of doing or not doing a bad act will deter harmful actions. He suggests the upper limits on punitive damages should be as predictable as the legislative range of criminal sentences, but no minimum for punitive damages were discussed.
Justice David Souter wrote for the majority, joined in full by Chief Justice John Roberts and Justices Antonin Scalia, Anthony Kennedy, and Clarence Thomas. Justice Samuel Alito took no part in the decision because he owns stock in ExxonMobil.
Justice Stevens wrote a separate opinion concurring in part and dissenting in part. His dissent advocated judicial restraint because Congress has chosen to regulate maritime tort law. Stevens wrote that the trial court award of $2.5 billion in punitive damages was not an abuse of discretion and should have been affirmed.
Of this reasoning, Boston University law professor Keith Hylton said, ""The court's elaborate and lengthy argument for the one-to-one ratio is troubling for several reasons. First, the whole discussion was largely unnecessary if the court really wanted to limit its decision to maritime cases. The court's majority appears to be trying to make the case for imposing the one-to-one ratio as a default rule in ordinary civil cases.""",wiki
"United States v. Park, 421 U.S. 658 (1975), was a case in the Supreme Court of the United States which held the Chief Executive Officer of a company may be criminally liable for contaminating food in violation of the Federal Food, Drug, and Cosmetic Act.
Sections 402 and 301 of the Act prohibited adulterating food held for sale in interstate commerce. Park was the CEO of Acme Markets, Inc. In 1971, the FDA notified Acme and Park that a 12-day inspection revealed insanitary conditions and vermin contamination.
Park failed to comply with a mandate from the FDA, under the Federal Food, Drugs, and Cosmetics Act, to keep conditions within his warehouses legally sanitary.
In the case, the Court found Park strictly liable for the unsanitary conditions that his company had created, arguing for strict liability under the rationale that the Federal Food, Drugs, and Cosmetics Act was a 'public welfare' statute. The Court concluded that as a welfare statute, the purpose was to prevent egregious social harm; therefore, the Defendant could be held strictly liable for the crime.
The Court held that if someone were to willingly be in charge of a company, and therefore its problems, then he or she willingly accepts the consequences of any illegal practices that his or her company or organization is involved in. An exception is made if the problem is impossible to fix.",wiki
"Laird v. Tatum, 408 U.S. 1 (1972), was a case in which the United States Supreme Court dismissed for lack of ripeness a claim in which the plaintiff accused the U.S. Army of alleged unlawful ""surveillance of lawful citizen's political activity.""  The appellant's specific nature of the harm caused by the surveillance was that it chilled the First Amendment rights of all citizens and undermined that right to express political dissent.",wiki
"Mistretta v. United States, 488 U.S. 361 (1989), is a case decided by the United States Supreme Court concerning the constitutionality of the United States Sentencing Commission.",wiki
"Klor's, Inc. v. Broadway-Hale Stores, Inc., 359 U.S. 207 (1959), is a United States Supreme Court decision holding that a retail chain's persuasion of a number of suppliers not to deal with a competitive retailer was a per se illegal boycott – under a hub-and-spoke conspiracy theory.",wiki
"United States v. National Treasury Employees Union, 513 U.S. 454 (1995), was a United States Supreme Court case in which the Court held that Section 501(b) of the Ethics in Government Act of 1978 violates the First Amendment of the United States Constitution.",wiki
"Aspen Skiing Co. v. Aspen Highlands Skiing Corp., 472 U.S. 585 (1985), was a United States Supreme Court case that decided whether a dominant firm's unilateral refusal to deal with a competitor could establish a monopolization claim under Section 2 of the Sherman Act. The unanimous Supreme Court agreed with the 10th Circuit that terminating a pro-consumer joint venture without a legitimate business justification could constitute illegal monopolization.  However, its decision created an exception to the general rule that firms can decide with whom to do business absent collusion, sparking significant controversy about the appropriate scope of this exception. In a subsequent case, Verizon Communications Inc. v. Law Offices of Curtis V. Trinko, LLP, Justice Scalia, writing for the majority, stated that Aspen Skiing is ""at or near the outer boundary of § 2 liability."" Although its holding has been narrowed, this case's relevance remains contested, especially in the context of refusals to license intellectual property.",wiki
"Lindh v. Murphy, 521 U.S. 320 (1997), was a United States Supreme Court case in which the Court held the Antiterrorism and Effective Death Penalty Act of 1996's amendments to Title 28, Section 2254 of the United States Code applies to cases filed after the Act's effective date. The amendments ""do not apply to pending noncapital cases such as Lindh's.""
In his dissent, Chief Justice William Rehnquist argues that ""in light of the whole of our retroactivity jurisprudence,"" pending cases should be subject to the Antiterrorism and Effective Death Penalty Act of 1996's amendments.",wiki
"Colorado v. Spring, 479 U.S. 564 (1987), was a United States Supreme Court case in which the Court held that a suspect's awareness of the crimes about which he may be questioned is not relevant to his waiver of his Fifth Amendment rights.",wiki
"Rakas v. Illinois, 439 U.S. 128 (1978), was a decision by the United States Supreme Court, in which the Court held that the ""legitimately on the property"" requirement of Jones v. United States, for challenging the legality of a police search, was too broad. The majority opinion by then-Associate Justice Rehnquist held that a defendant needs to show a ""legitimate"" expectation of privacy in the place searched in order to be eligible to challenge the search. For example, an overnight guest in a friend's apartment has such ""standing"".
In the case at issue, the Court ruled that vehicular passengers in a car they did not own had no such legitimate expectation.",wiki
"Delaware v. Prouse, 440 U.S. 648 (1979), was a United States Supreme Court case in which the Court held that police may not stop motorists without any reasonable suspicion to suspect crime or illegal activity to check their driver's license and auto registration.

",wiki
"Harper & Row v. Nation Enterprises, 471 U.S. 539 (1985), was a United States Supreme Court decision in which public interest in learning about a historical figure's impressions of a historic event was held not to be sufficient to show fair use of material otherwise protected by copyright. Defendant, The Nation, had summarized and quoted substantially from A Time to Heal, President Gerald Ford's forthcoming memoir of his decision to pardon former president Richard Nixon. When Harper & Row, who held the rights to A Time to Heal, brought suit, The Nation asserted that its use of the book was protected under the doctrine of fair use, because of the great public interest in a historical figure's account of a historic incident. The Court rejected this argument holding that the right of first publication was important enough to find in favor of Harper.",wiki
"United States v. Nixon, 418 U.S. 683 (1974), was a landmark decision of the Supreme Court of the United States in which the Court unanimously ordered President Richard Nixon to deliver tape recordings and other subpoenaed materials related to the Watergate scandal to a federal district court. Decided on July 24, 1974, the ruling was important to the late stages of the Watergate scandal, amidst an ongoing process to impeach Richard Nixon. United States v. Nixon is considered a crucial precedent limiting the power of any U.S. president to claim executive privilege.
Chief Justice Warren E. Burger wrote the opinion for a unanimous court, joined by Justices William O. Douglas, William J. Brennan, Potter Stewart, Byron White, Thurgood Marshall, Harry Blackmun and Lewis F. Powell. Burger, Blackmun, and Powell were appointed to the Court by Nixon during his first term. Associate Justice William Rehnquist recused himself as he had previously served in the Nixon administration as an Assistant Attorney General.",wiki
"Rostker v. Goldberg, 453 U.S. 57 (1981), is a decision of the Supreme Court of the United States holding that the practice of requiring only men to register for the draft was constitutional. After extensive hearings, floor debate and committee sessions on the matter, the United States Congress reauthorized the law, as it had previously been, to apply to men only. Several attorneys, including Robert L. Goldberg, subsequently challenged the Act as gender distinction. In a 6–3 decision, the Supreme Court upheld the Act, holding that its gender distinction was not a violation of the equal protection component of the Due Process Clause of the Fifth Amendment.",wiki
"McNeil v. Wisconsin, 501 U.S. 171 (1991), held that the right to counsel secured by the Sixth Amendment and the right to counsel protected by Miranda v. Arizona are separate and distinct, such that invoking one does not implicitly invoke the other.",wiki
"Perez v. Brownell, 356 U.S. 44 (1958), was a United States Supreme Court case in which the Court affirmed Congress's right to revoke United States citizenship as a result of a citizen's voluntary performance of specified actions, even in the absence of any intent or desire on the person's part to lose citizenship.  Specifically, the Supreme Court upheld an act of Congress which provided for revocation of citizenship as a consequence of voting in a foreign election.
The precedent  was repudiated nine years later in Afroyim v. Rusk, in which the Supreme Court held that the Fourteenth Amendment's Citizenship Clause guaranteed citizens' right to keep their  citizenship and overturned the same law that it had upheld in Perez.",wiki
"Dickinson v. United States, 346 U.S. 389 (1953), was a case in which the Supreme Court of the United States held there was no basis for denying a petitioner's (a Jehovah's Witness) claim to ministerial exemption from military service, and his conviction for refusing to submit to his local board's induction order was reversed.",wiki
